,Company,Industry,Country,Market_Value,Sales,Profits,Assets,Rank,DBpedia_URI,Market_Value_class,Sales_class,Profits_class,Assets_class,Rank_class
0,AGL_Energy,Electric_Utilities,Australia,9.5,7.6,0.1,14.5,1242,http://dbpedia.org/resource/AGL_Energy,low,low,low,mid,high
1,Amcor,Containers_&_Packaging,Australia,11.9,12.5,0.4,11.5,875,http://dbpedia.org/resource/Amcor,mid,mid,mid,mid,mid
2,AMP,Investment_Services,Australia,16.0,17.2,0.7,122.1,373,http://dbpedia.org/resource/AMP,mid,mid,mid,mid,low
3,ANZ,Major_Banks,Australia,81.2,37.5,5.9,666.9,66,http://dbpedia.org/resource/ANZ,high,high,high,high,low
4,Bank_of_Queensland,Regional_Banks,Australia,3.1,2.8,0.0,43.0,1751,http://dbpedia.org/resource/Bank_of_Queensland,low,low,low,mid,high
5,BHP_Billiton,Diversified_Metals_&_Mining,Australia,184.7,72.2,15.4,129.3,44,http://dbpedia.org/resource/BHP_Billiton,high,high,high,mid,low
6,Brambles,Business_&_Personal_Services,Australia,14.1,5.6,0.6,7.7,1116,http://dbpedia.org/resource/Brambles,mid,low,mid,mid,mid
7,Coca-Cola_Amatil,Beverages,Australia,12.1,5.3,0.5,7.0,1249,http://dbpedia.org/resource/Coca-Cola_Amatil,mid,low,mid,mid,high
8,Commonwealth_Bank,Major_Banks,Australia,117.5,47.8,7.3,735.2,40,http://dbpedia.org/resource/Commonwealth_Bank,high,high,high,high,low
9,CSL,Biotechs,Australia,32.0,4.5,1.0,5.8,956,http://dbpedia.org/resource/CSL,mid,low,mid,mid,mid
10,Fortescue_Metals_Group,Iron_&_Steel,Australia,13.2,7.0,1.6,14.9,703,http://dbpedia.org/resource/Fortescue_Metals_Group,mid,low,mid,mid,low
11,Goodman_Group,Real_Estate,Australia,8.9,0.7,0.4,8.4,1592,http://dbpedia.org/resource/Goodman_Group,low,low,mid,mid,high
12,GPT_Group,Real_Estate,Australia,7.0,0.7,0.6,9.7,1460,http://dbpedia.org/resource/GPT_Group,low,low,mid,mid,high
13,Incitec_Pivot,Specialized_Chemicals,Australia,5.7,3.6,0.5,7.3,1819,http://dbpedia.org/resource/Incitec_Pivot,low,low,mid,mid,high
14,Insurance_Australia_Group,Property_&_Casualty_Insurance,Australia,12.4,9.2,0.2,25.4,952,http://dbpedia.org/resource/Insurance_Australia_Group,mid,mid,mid,mid,mid
15,Lend_Lease_Group,Real_Estate,Australia,5.8,11.9,0.5,12.6,1016,http://dbpedia.org/resource/Lend_Lease_Group,low,mid,mid,mid,mid
16,Macquarie_Group,Investment_Services,Australia,13.5,11.4,0.8,157.8,445,http://dbpedia.org/resource/Macquarie_Group,mid,mid,mid,mid,low
17,Metcash,Food_Retail,Australia,3.9,12.8,0.1,4.1,1918,http://dbpedia.org/resource/Metcash,low,mid,low,mid,high
18,Mirvac_Group,Real_Estate,Australia,6.1,1.6,0.4,8.3,1863,http://dbpedia.org/resource/Mirvac_Group,low,low,mid,mid,high
19,National_Australia_Bank,Major_Banks,Australia,76.3,49.2,4.2,791.3,58,http://dbpedia.org/resource/National_Australia_Bank,high,high,high,high,low
20,Newcrest_Mining,Diversified_Metals_&_Mining,Australia,17.5,4.5,1.1,20.8,744,http://dbpedia.org/resource/Newcrest_Mining,mid,low,mid,mid,low
21,Orica,Diversified_Metals_&_Mining,Australia,9.6,6.9,0.4,7.7,1256,http://dbpedia.org/resource/Orica,low,low,mid,mid,high
22,Origin_Energy,Electric_Utilities,Australia,14.9,13.2,1.0,28.7,494,http://dbpedia.org/resource/Origin_Energy,mid,mid,mid,mid,low
23,Qantas_Airways,Airline,Australia,4.1,16.1,-0.3,21.7,1254,http://dbpedia.org/resource/Qantas_Airways,low,mid,low,mid,high
24,QBE_Insurance_Group,Property_&_Casualty_Insurance,Australia,17.0,17.0,0.8,50.8,411,http://dbpedia.org/resource/QBE_Insurance_Group,mid,mid,mid,mid,low
25,Santos,Oil_&_Gas_Operations,Australia,13.1,3.4,0.5,17.7,1014,http://dbpedia.org/resource/Santos,mid,low,mid,mid,mid
26,Suncorp_Group,Diversified_Insurance,Australia,15.9,15.6,0.7,98.3,393,http://dbpedia.org/resource/Suncorp_Group,mid,mid,mid,mid,low
27,Telstra,Telecommunications_services,Australia,58.4,25.8,3.5,40.5,200,http://dbpedia.org/resource/Telstra,high,mid,high,mid,low
28,Transurban_Group,Other_Transportation,Australia,9.5,1.2,0.1,10.1,1866,http://dbpedia.org/resource/Transurban_Group,low,low,low,mid,high
29,Wesfarmers,Food_Retail,Australia,51.9,59.0,2.2,42.9,168,http://dbpedia.org/resource/Wesfarmers,high,high,mid,mid,low
