,AttackID,SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,Label
0,1,192.168.20.191,176.103.130.131,50749,443,2020-01-14 15:49:11,95.08155,62311,655.3427031847924,65358,687.3888782839573,7474.676771156016,86.45621302807575,135.67375132837407,102.0,54,1.1684672558155722,0.944683423756386,0.6372361063329335,670.5858142480109,25.89567172807091,45.065277042507965,48.811292,1.49506,-0.4339738698608095,1.6825289376555486,0.574625818979094,0.0010534536479509,0.0324569506878108,0.027624167539267,0.026854,0.026822,0.0711866817072482,0.0247148152327281,1.174947648347202,DoH
1,2,192.168.20.191,176.103.130.131,50749,443,2020-01-14 15:50:52,122.309318,93828,767.1369731617668,101232,827.6720175972201,10458.11859827251,102.26494315391032,141.24547429398987,114.0,54,0.7992614121826189,0.853131792804931,0.7240227955272744,708.4658776318138,26.617022328423847,52.287902849384494,48.830314,31.719656,0.3897042434035386,0.772747852693501,0.5090474254646296,0.001169640867716,0.0342000126859048,0.0243870918367346,0.0210435,0.026981,0.2932974207444706,-0.0758452397982399,1.4023817564991012,DoH
2,3,192.168.20.191,176.103.130.131,50749,443,2020-01-14 15:52:55,120.958413,38784,320.63912743299636,38236,316.10864471246,7300.293933256174,85.44175755013572,133.71527777777777,89.0,54,1.570026614382539,0.9329779731064431,0.6389827622549751,1358.911234555898,36.86341322444109,50.316113706597214,39.770747,0.417528,0.8581977997310454,1.3536073125619736,0.7326363367289974,0.0007851553574822,0.0280206237882425,0.0292384666666666,0.0269215,0.026855,0.2480637138034238,0.0850611565495116,0.9583479225395716,DoH
3,4,192.168.20.191,176.103.130.131,50749,443,2020-01-14 15:54:56,110.50108,61993,561.0171411899322,69757,631.2788979076041,8499.282518351176,92.19155340025016,139.1235480464625,114.0,54,0.8175439219704372,0.9233334823733594,0.6626595906644167,1118.1354363909145,33.4385322104741,51.693726119324175,34.882495,13.280934,1.5082508119831577,1.148758321015417,0.6468586174904132,0.0004110453226148,0.0202742527017599,0.0199248783068783,0.019268,0.026918,0.0971988930799829,-0.344926237035343,1.0175345811151595,DoH
4,5,176.103.130.131,192.168.20.191,443,50749,2020-01-14 15:56:46,54.229891,83641,1542.3412892347505,76804,1416.266907119544,8052.745750641853,89.7370923901697,138.91341991341992,114.0,114,0.832880336876696,0.2776267789588987,0.6459929677499829,341.6966133037123,18.485037552131516,36.43561879220779,49.822561,7.342519,-2.1726126609218417,1.5738729072180355,0.5073342560078812,0.0790786612181943,0.2812092836628874,0.025930264,4.65e-05,2.1e-05,0.2761334582861355,0.0921351658896863,10.844829179636868,DoH
5,6,192.168.20.191,176.103.130.131,52491,443,2020-01-14 15:57:40,145.460721,54084,371.8117140365336,63843,438.9019905930481,16074.98072817701,126.78714733038602,141.061004784689,89.0,54,1.2318521052223086,0.6866705862371257,0.8988107487530651,1519.7847054092745,38.984416186590174,52.96258765311005,47.4924405,53.808413,0.4209487550303495,-0.0216964990021037,0.7360746125534323,0.0006430450722044,0.0253583333877527,0.0250749886363636,0.026813,0.026903,-0.2056142259501682,-0.0720872044579725,1.0112998955053647,DoH
6,7,192.168.20.191,176.103.130.131,52742,443,2020-01-14 15:59:18,0.15541,1718,11054.629689209189,7411,47686.76404349784,234126.02514792897,483.8657098285938,351.11538461538464,129.5,54,1.3740303153155269,0.6140451339704063,1.3780817675039367,0.0010679413383032,0.0326793717550269,0.0682093461538461,0.0609,0.087941,0.671005508487639,-0.6037953848705367,0.4791040172312846,0.000154882583102,0.0124451831285056,0.0132105714285714,0.010833,2.3e-05,0.5731305206250318,1.0596526617889117,0.9420624380857248,DoH
7,8,192.168.20.191,176.103.130.131,52742,443,2020-01-14 16:00:03,0.027001,55,2036.9615940150363,66,2444.353912818044,30.25,5.5,60.5,60.5,55,0.0,1.0,0.0909090909090909,0.00018226350025,0.0135005,0.0135005,0.0135005,0.0,0.0,1.0,1.0,0.0,0.0,0.027001,0.027001,0.027001,-10.0,-10.0,0.0,DoH
8,9,192.168.20.191,176.103.130.131,52491,443,2020-01-14 16:00:06,44.649554,32285,723.0755317287155,36193,810.6016019779279,8371.950254060808,91.4983620293872,139.75102040816327,114.0,54,0.8443108653647579,0.937186398819052,0.6547241069306892,193.96345422697473,13.927076298598164,23.25505673877551,23.0352925,0.644233,0.0473389175295099,1.6235154639779932,0.5988837806349506,0.0006642010782845,0.0257720988335157,0.0213125686274509,0.0207865,0.000203,0.0612369948038742,0.8190861273587335,1.2092441452749554,DoH
9,10,192.168.20.191,176.103.130.131,52742,443,2020-01-14 16:00:48,0.046455,55,1183.941448713809,66,1420.7297384565709,30.25,5.5,60.5,60.5,55,0.0,1.0,0.0909090909090909,0.00053951675625,0.0232275,0.0232275,0.0232275,0.0,0.0,1.0,1.0,0.0,0.0,0.046455,0.046455,0.046455,-10.0,-10.0,0.0,DoH
